label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
snow drift,An accumulation of powdery snow which was transported and deposited via a snow drifting process.,,unsintered snow|snowdrift,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000112
soil pollution,A pollution process during which contaminants are released into soil.,,,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500038
water pollution,A pollution process during which contaminants are released into water.,,,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500039
air pollution,A pollution process during which particulates or other contaminants are released into a portion of air.,,,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500037
slab avalanche,A mass wasting process during which slab snow rapidly moves down a sloping surface.,Slab avalanches account for most back-country fatalities.,,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_03000105
wet snow avalanche,An avalanche during which a suspension of water and snow flows down a sloping surface.,Wet snow avalanches travel at a lower velocity than other types of avalanches.,,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_03000107
mass wasting flow,"A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material.",,,flow,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000696
hailfall,Hailfall is a hydrological process in which balls or irregular lumps of water ice formed in thunderstorm or cumulonimbus clouds fall to a planetary surface.,,hail fall,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000874
powdery snow avalanche,An avalanche during which powdery snow rapidly flows down a sloping surface.,,powder snow avalanche,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_03000106
mass wasting,"Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides.","Of interest for future development: Some causes of mass wasting earthquakes, increased overburden from structures, increased soil moisture, reduction of roots holding the soil to bedrock, undercutting of the slope by excavation or erosion, weathering by frost heave, bioturbation, volcanic edifice over-steepening. Some processes that reduce mass wasting: Afforestation, Reforestation, Terracing steps on slopes (reduce angle of slope). https://en.wikipedia.org/wiki/Mass_wasting.",slope movement,mass movement,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000690
